pcrel,p,c
1,Nozzle,abs cracking even with cat guard
2,Nozzle Fan,abs cracking even with cat guard
3,Nozzle,adding extruders
4,Filament,adding extruders
5,Nozzle,adding extruders
6,Nozzle Fan,adding extruders
7,Filament,adding extruders
8,Nozzle,adhesion issue
9,Filament,adhesion issue
10,Filament,adhesion issue
11,Filament,adjust extrusion speed
12,Nozzle,auto bed leveling
13,Filament,auto bed leveling
14,Nozzle,auto bed leveling
15,Nozzle,auto bed leveling
16,Nozzle,auto bed leveling
17,Y Tension Belt,auto bed leveling
18,PEI Surface Print Bed,auto bed leveling
19,PEI Surface Print Bed,auto bed leveling
20,Filament,auto bed leveling
21,Nozzle,auto calibrate
22,Nozzle,auto leveling
23,Bearing,auto leveling
24,X Stepper Motor,auto leveling
25,Nozzle,auto leveling malfunction
26,Nozzle,auto leveling malfunction
27,Filament,auto leveling malfunction
28,Y Tension Belt,axis shift
29,Bearing,bearing degrading
30,Bearing,bearing holder auto level
31,X Stepper Motor,bearing holder auto level
32,Bearing,bearing holder issue
33,Bearing,bearing holder issue
34,Nozzle,bearing issue
35,Bearing,bearing issue
36,Filament,bearing issue
37,Bearing,bearing issue
38,Bearing,bearing issue
39,Nozzle,bearing play
40,Bearing,bearing play
41,Bearing,bearing play
42,Bearing,bearing upgrade
43,Bearing,bearing wear
44,Bearing,bearing wear
45,Bearing,bearing wear
46,Nozzle Fan,bed calibration
47,Filament,bed calibration
48,Nozzle,bed leveling fail
49,Filament,bed leveling fail
50,Nozzle,bed leveling fail
51,Nozzle Fan,bed leveling fail
52,PEI Surface Print Bed,bed leveling fail
53,Heat Bed Cable,bed leveling fail
54,Thermistor,bed temperature calibration
55,Y Tension Belt,belt slipping
56,Bearing,belt slipping
57,Nozzle,building enclosure
58,LCD Screen,building enclosure
59,PEI Surface Print Bed,building enclosure
60,Filament,building enclosure
61,LCD Screen,building enclosure
62,LCD Screen,building enclosure
63,Rambo Board,building enclosure
64,Nozzle Fan,building enclosure
65,Filament,building enclosure
66,Filament,building enclosure
67,Filament,building enclosure
68,Filament,building enclosure
69,Y Tension Belt,calibration issue
70,Nozzle Fan,case fan issue
71,Nozzle Fan,case fan issue
72,Rambo Board,case fan upgrade 
73,Nozzle Fan,case fan upgrade 
74,Nozzle,cooling fin loose
75,Nozzle,dual extruder degrade
76,Thermistor,dual extruder installation questions
77,Nozzle Fan,dual extruder installation questions
78,Nozzle,dual extruder questions
79,Heat Sink,dual extruder questions
80,Nozzle Fan,dual extruder questions
81,Filament,dual extruder questions
82,Nozzle,dual extruder questions
83,Thermistor,dual extruder questions
84,Nozzle,dual extruder questions
85,Filament,dual extruder questions
86,Nozzle,dual extruder questions
87,Nozzle Fan,dual extruder questions
88,Filament,dual extruder questions
89,Nozzle,dual extruder questions
90,Nozzle Fan,dual extruder questions
91,Nozzle,dual extruder questions
92,PEI Surface Print Bed,dual extruder questions
93,PEI Surface Print Bed,dual extruder questions
94,Nozzle Fan,dual extruder questions
95,Filament,dual extruder questions
96,Filament,dual extruder questions
97,Filament,dual extruder questions
98,Nozzle,dual extrusion problems
99,Filament,dual extrusion problems
100,Filament,dual extrusion problems
101,Nozzle Fan,enclosure duct problem
102,Nozzle Fan,enclosures and ventilation
103,Nozzle,extruder calibration
104,PEI Surface Print Bed,extruder calibration
