,s,c,context
0,Parameter Configuring,[solved] hot end not holding temp for certain filaments,
1,Printing Tracking,[solved] hot end not holding temp for certain filaments,
2,Parameter Configuring,dual v3 - a review - wait for v4? - heat creep still a problem,dual extruder questions
3,Printing Tracking,dual v3 - a review - wait for v4? - heat creep still a problem,dual extruder questions
4,Parameter Configuring,taz 3 with taz 5 extruder,
5,Printing Tracking,taz 3 with taz 5 extruder,
6,Quality Checking,taz 3 with taz 5 extruder,
7,Maintenance,taz 3 with taz 5 extruder,
8,Inventory Management,taz 3 with taz 5 extruder,
9,Payment Selection,taz 3 with taz 5 extruder,
10,Parameter Configuring,new taz 5 owner needs help,
11,Printing Tracking,new taz 5 owner needs help,
12,Quality Checking,new taz 5 owner needs help,
13,Parameter Configuring,g21 command unknown?,
14,Parameter Configuring,z-offset and 1st layer height,
15,Parameter Configuring,odd behavior of plastic while bridging,
16,Parameter Configuring,cura terminal entry box ????,
17,Printing Tracking,cura terminal entry box ????,
18,Quality Checking,cura terminal entry box ????,
19,Maintenance,cura terminal entry box ????,
20,Inventory Management,cura terminal entry box ????,
21,Payment Selection,cura terminal entry box ????,
22,Parameter Configuring,poor man's pause on filament run out,
23,Printing Tracking,poor man's pause on filament run out,
24,Quality Checking,poor man's pause on filament run out,
25,Maintenance,poor man's pause on filament run out,
26,Inventory Management,poor man's pause on filament run out,
27,Payment Selection,poor man's pause on filament run out,
28,Parameter Configuring,ditched my skirt for this prusa i3 mk2 style wipe feature i made for the taz 6,
29,Printing Tracking,ditched my skirt for this prusa i3 mk2 style wipe feature i made for the taz 6,
30,Parameter Configuring,uneven/shifted/missing layer issues,
31,Printing Tracking,uneven/shifted/missing layer issues,
32,Parameter Configuring,extrusion delay - taz 6,
33,Printing Tracking,extrusion delay - taz 6,
34,Parameter Configuring,quick unbox and first print with the moarstruder,
35,Printing Tracking,quick unbox and first print with the moarstruder,
36,Quality Checking,quick unbox and first print with the moarstruder,
37,Maintenance,quick unbox and first print with the moarstruder,
38,Inventory Management,quick unbox and first print with the moarstruder,
39,Payment Selection,quick unbox and first print with the moarstruder,
40,Parameter Configuring,constant extrusion failures,not extruding
41,Printing Tracking,constant extrusion failures,not extruding
42,Quality Checking,constant extrusion failures,not extruding
43,Maintenance,constant extrusion failures,not extruding
44,Inventory Management,constant extrusion failures,not extruding
45,Payment Selection,constant extrusion failures,not extruding
46,Parameter Configuring,flexystruder v1 with taz 5,
47,Printing Tracking,flexystruder v1 with taz 5,
48,Quality Checking,flexystruder v1 with taz 5,
49,Maintenance,flexystruder v1 with taz 5,
50,Inventory Management,flexystruder v1 with taz 5,
51,Payment Selection,flexystruder v1 with taz 5,
52,Parameter Configuring,differing machine speeds,printing speed issue
53,Parameter Configuring,wavy wall if print speed is not very low?,printing speed issue
54,Printing Tracking,wavy wall if print speed is not very low?,printing speed issue
55,Parameter Configuring,fundamental differences between mini and taz 5?,
56,Printing Tracking,fundamental differences between mini and taz 5?,
57,Parameter Configuring,problem using flashair sd card,
58,Printing Tracking,problem using flashair sd card,
59,Quality Checking,problem using flashair sd card,
60,Maintenance,problem using flashair sd card,
61,Inventory Management,problem using flashair sd card,
62,Payment Selection,problem using flashair sd card,
63,Parameter Configuring,"hybrid parts.. abs and ninjaflex,  anybody doing it?",
64,Printing Tracking,"hybrid parts.. abs and ninjaflex,  anybody doing it?",
65,Quality Checking,"hybrid parts.. abs and ninjaflex,  anybody doing it?",
66,Maintenance,"hybrid parts.. abs and ninjaflex,  anybody doing it?",
67,Inventory Management,"hybrid parts.. abs and ninjaflex,  anybody doing it?",
68,Payment Selection,"hybrid parts.. abs and ninjaflex,  anybody doing it?",
69,Parameter Configuring,octoprint - movement speeds,printing speed issue
70,Printing Tracking,new taz pro 2nd extruder not lowering,
71,Inventory Management,new taz pro 2nd extruder not lowering,
72,Printing Tracking,taz 6 sd card reader not reading files,not reading sd card
73,Printing Tracking,z height changing during print.,
74,Printing Tracking,my taz6 can't determine firmware version,firmware settings
75,Printing Tracking,my taz 6 started chewing up the filament,
76,Printing Tracking,"luzbot 5 single, printing in squiggles",
77,Printing Tracking,taz 6 w/ moar - spiralize problem,
78,Printing Tracking,taz 6 bed leveling problems,auto bed leveling
79,Printing Tracking,problems with the taz6,
80,Printing Tracking,hs+ head taz 6 major issues!,
81,Printing Tracking,taz pro issues - print failures,
82,Printing Tracking,simple trick for leveling bed,
83,Printing Tracking,[dual extruder v3] printing different colors for different layers,
84,Printing Tracking,lulzbot taz 6: different nozzles,
85,Printing Tracking,taz 6 filament extrudes manually but not during printing,
86,Printing Tracking,[dual extruder v3] non-support filament will not print well,
87,Printing Tracking,taz 6 cuts out when heating up,
88,Printing Tracking,e1:err: mintemp taz6 dual head v2,mintemp error
89,Printing Tracking,lulzbot support is horrible,
90,Printing Tracking,how to print a smooth surface?,
91,Printing Tracking,x-axis will not move in negative direction,
92,Printing Tracking,first few layers,first layer issue
93,Printing Tracking,"new taz 6, tool head screw position misaligned?",
94,Printing Tracking,dual extruder v3 tool head & flexible,
95,Printing Tracking,pimple free printing,print quality issue
96,Printing Tracking,prints shifting on taz 6,layer shift
97,Printing Tracking,print critique how do these look?,
98,Printing Tracking,taz 4 hardened steel hobbed bolt,
99,Printing Tracking,"taz 6, slop?",
100,Printing Tracking,recommended spare parts,printing spare parts questions
101,Printing Tracking,problem with replacement single extruder toolhead,extruder toolhead replacement
102,Printing Tracking,ngen removal from taz6,
